id,title,source_name,url,license,date_accessed,text_chunk,category
fda_acetaminophen_01,Pain Reliever Extra Strength,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0005aafa-08f8-4990-a54d-cc097195708f,Public Domain,2026-01-26,"Drug: Pain Reliever Extra Strength Generic Name: ACETAMINOPHEN Active Ingredients: Active ingredient (in each gelcap) Acetaminophen 500 mg Purpose: Purpose Pain reliever/fever reducer Uses: Uses temporarily relieves minor aches and pains due to: headache the common cold backache minor pain of arthritis toothache muscular aches premenstrual and menstrual cramps temporarily reduces fever Warnings: Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use if you are allergic to acetaminophen or any of the  Do Not Use: Do not use if you are allergic to acetaminophen or any of the inactive ingredients in this product with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a Doctor Before Use If: Ask a doctor before use if you have liver disease. Dosage: Directions do not take more than directed adults and children 12 years and over take 2 gelcaps every 6 hours while symptoms last do not take more than 6 gelcaps in 24 hours, unless directed by a doctor do not take for more than 10 days unless directed by a doctor children under 12 years: ask a doctor Stop Use and Ask a Doctor If: Stop use and ask a doctor if new symptoms occur pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days redness or swelling is present These could be signs of a serious condition. Pregnancy/Breastfeeding: If pregnant or breast-feeding, ask a health professional before use.",drug_info
fda_ibuprofen_01,Ibuprofen Dye Free,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=00653b7c-7099-487e-9a01-e89781c21323,Public Domain,2026-01-26,"Drug: Ibuprofen Dye Free Generic Name: IBUPROFEN Active Ingredients: Active ingredient (in each white tablet) Ibuprofen USP, 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug Purpose: Purpose Pain reliever/fever reducer Uses: Uses temporarily relieves minor aches and pains due to: headache toothache backache menstrual cramps the common cold muscular aches minor pain of arthritis temporarily reduces fever Warnings: Warnings Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: rash facial swelling asthma (wheezing) hives skin reddening shock blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding.",drug_info
fda_ibuprofen_02,Ibuprofen Dye Free,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=00653b7c-7099-487e-9a01-e89781c21323,Public Domain,2026-01-26,"The chance is higher if you: take more or for a longer time than directed take a blood thinning (anticoagulant) or  Do Not Use: Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a Doctor Before Use If: Ask a doctor before use if stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you are taking a diuretic you have problems or serious side effects from  Dosage: Directions do not take more than directed the smallest effective dose should be used adults and children 12 years and over: take 1 tablet every 4 to 6 hours while symptoms persist if pain or fever does not respond to 1 tablet, 2 tablets may be used do not exceed 6 tablets in 24 hours, unless directed by a doctor children under 12 years: ask a doctor Stop Use and Ask a Doctor If: Stop use and ask a doctor if you experience any of the following signs of stomach bleeding: feel faint have bloody or black stools vomit blood have stomach pain that does not get better you have symptoms of heart problems or stroke: chest pain slurred speech leg swelling trouble breathing weakness i Pregnancy/Breastfeeding: If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen at 20 weeks or later in pregnancy unless definitely directed to do so by a doctor b",drug_info
fda_aspirin_01,Low Dose Aspirin,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0058175f-3474-40c3-a046-6cfaec86d84b,Public Domain,2026-01-26,"Drug: Low Dose Aspirin Generic Name: ASPIRIN Active Ingredients: Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug Purpose: Purpose Pain reliever Uses: Uses for the temporary relief of minor aches and pains or as recommended by your doctor. Because of its delayed action, this product will not provide fast relief of headaches or other symptoms needing immediate relief. ask your doctor about other uses for safety coated 81 mg aspirin Warnings: Warnings Reye's syndrome : Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. When using this product, if changes in behavior with nausea and vomiting occur, consult a doctor because these symptoms could be an early sign of Reye's syndrome, a rare but serious illness. Allergy alert : Aspirin may cause a severe allergic reaction, which may include: hives facial swelling shock asthma (wheezing) Stomach bleeding warning: This product Do Not Use: Do not use if you are allergic to aspirin or any other pain reliever/fever reducer. if you have ever had an allergic reaction to his product or any of its ingredients Ask a Doctor Before Use If: Ask a doctor before use if stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, or kidney disease you are taking a diuretic you have asthma Dosage: Directions drink a full glass of water with each dose adults and children 12 years and over: take 4 to 8 tablets every 4 hours not to exceed 48 tablets in 24 hours unless directed by a doctor children under 12 years: consult a doctor Stop Use and Ask a Doctor If: Stop use and ask a doctor if an allergic reaction occurs. Seek medical help right away.",drug_info
fda_aspirin_02,Low Dose Aspirin,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0058175f-3474-40c3-a046-6cfaec86d84b,Public Domain,2026-01-26,"you experience any of the following signs of stomach bleeding: feel faint vomit blood have bloody or black stool have stomach pain that does not get better pain gets worse or lasts more than 10 days redness or sw Pregnancy/Breastfeeding: If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use aspirin during the last 3 months of pregnancy unless definitely directed to do so by a doctor",drug_info
fda_naproxen_01,Naproxen Sodium 220mg,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=002052df-83ac-4efd-926c-b60a8f64cec4,Public Domain,2026-01-26,"Drug: Naproxen Sodium 220mg Generic Name: NAPROXEN SODIUM 220MG Active Ingredients: Active ingredient Naproxen sodium 220mg (naproxen 200mg) (NSAID)* *nonsteroidal anti-inflammatory drug Purpose: Purpose Pain reliever/fever reducer Uses: Uses temporarily relieves minor aches and pains due to: minor pain of arthritis muscular aches backache menstrual cramps headache toothache the common cold temporarily reduces fever Warnings: Warnings Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include hives facial swelling asthma (wheezing) shock skin reddening rash blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding.",drug_info
fda_naproxen_02,Naproxen Sodium 220mg,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=002052df-83ac-4efd-926c-b60a8f64cec4,Public Domain,2026-01-26,"The chance is higher if you are age 60 or older have had stomach ulcers or bleeding problems take a blood thin Do Not Use: Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a Doctor Before Use If: Ask a doctor before use if the stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, or kidney disease you are taking a diuretic you have problems or serious side effects from taking pain reliev Dosage: Directions do not take more than directed the smallest effective dose should be used drink a full glass of water with each dose Adults and children 12 years and older: take 1 caplet every 8 to 12 hours while symptoms last for the first dose you may take 2 caplets within the first hour do not exceed 2 caplets in any 8 to 12 hour period do not exceed 3 caplets in a 24 hour period Children under 12 y Stop Use and Ask a Doctor If: Stop use and ask a doctor if you experience any of the following signs of stomach bleeding: feel faint vomit blood have bloody or black stools have stomach pain that does not get better you have symptoms of heart problems or stroke: chest pain trouble breathing weakness in one part or side of body s Pregnancy/Breastfeeding: If pregnant or breast-feeding, If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use naproxen sodium during the last 3 months of pregnancy unless d",drug_info
fda_excedrin_01,EXCEDRIN EXTRA STRENGTH PAIN RELIEVER,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=07c4cc3d-9a68-42a1-801d-5d4ec107ffad,Public Domain,2026-01-26,"Drug: EXCEDRIN EXTRA STRENGTH PAIN RELIEVER Generic Name: ACETAMINOPHEN, ASPIRIN, AND CAFFEINE Active Ingredients: Active ingredients (in each caplet) Purposes Acetaminophen 250 mg Pain reliever Aspirin 250 mg (NSAID nonsteroidal anti-inflammatory drug ) Pain reliever Caffeine 65 mg Pain reliever aid Purpose: Active ingredients (in each caplet) Purposes Acetaminophen 250 mg Pain reliever Aspirin 250 mg (NSAID nonsteroidal anti-inflammatory drug ) Pain reliever Caffeine 65 mg Pain reliever aid Uses: Uses temporarily relieves minor aches and pains due to: headache a cold arthritis muscular aches toothache premenstrual & menstrual cramps Warnings: Warnings Reye's syndrome Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. When using this product, if changes in behavior with nausea and vomiting occur, consult a doctor because these symptoms could be an early sign of Reye's syndrome, a rare but serious illness. Allergy alert Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical he Do Not Use: Do not use if you have ever had an allergic reaction to acetaminophen, aspirin or any other pain reliever/fever reducer with any other drug containing acetaminophen (prescription or nonprescription).",drug_info
fda_excedrin_02,EXCEDRIN EXTRA STRENGTH PAIN RELIEVER,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=07c4cc3d-9a68-42a1-801d-5d4ec107ffad,Public Domain,2026-01-26,"If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist Ask a Doctor Before Use If: Ask a doctor before use if you have liver disease stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, or kidney disease you are taking a diuretic you have asthma Dosage: Directions do not use more than directed drink a full glass of water with each dose adults and children 12 years of age and over: take 2 caplets every 6 hours; not more than 8 caplets in 24 hours under 12 years: ask a doctor Stop Use and Ask a Doctor If: Stop use and ask a doctor if an allergic reaction occurs. Seek medical help right away. you experience any of the following signs of stomach bleeding: feel faint vomit blood have bloody or black stools have stomach pain that does not get better ringing in the ears or loss of hearing occurs painful a Pregnancy/Breastfeeding: If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use aspirin at 20 weeks or later in pregnancy unless definitely directed to do so by a doctor bec",drug_info
fda_tylenol_01,TYLENOL Extra Strength,FDA openFDA,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=015a6179-bacb-452d-b594-4de628ddc11d,Public Domain,2026-01-26,"Drug: TYLENOL Extra Strength Generic Name: ACETAMINOPHEN Active Ingredients: Active ingredient (in each tablet) Acetaminophen 500 mg Purpose: Purpose Pain reliever/fever reducer Uses: Uses temporarily relieves minor aches and pains due to: the common cold headache backache minor pain of arthritis toothache muscular aches premenstrual and menstrual cramps temporarily reduces fever Warnings: Warnings Liver warning This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use with any other drug containing acetaminophen (prescr Do Not Use: Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are allergic to acetaminophen or any of the inactive ingredients in this product Ask a Doctor Before Use If: Ask a doctor before use if you have liver disease Dosage: Directions do not take more than directed (see overdose warning ) adults and children 12 years and over take 2 tablets every 6 hours while symptoms last do not take more than 6 tablets in 24 hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor children under 12 years ask a doctor Stop Use and Ask a Doctor If: Stop use and ask a doctor if pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days new symptoms occur redness or swelling is present These could be signs of a serious condition. Pregnancy/Breastfeeding: If pregnant or breast-feeding, ask a health professional before use.",drug_info
