id,title,source_name,url,license,date_accessed,text_chunk,category
nccih_0001_1,Información en Español,NCCIH (NIH),https://www.nccih.nih.gov/health/espanol,Public Domain,2026-01-11,"Información de Salud en Español Esta página brinda enlaces a recursos del NCCIH en español sobre medicina complementaria e integral. Además, incluye enlaces a otros recursos en español relacionados con la salud. Si usted utiliza medicina complementaria e integral, recuerde mencionárselo a su médico o al profesional de la salud que lo atienda. Algunos métodos de medicina complementaria e integral pueden afectar los tratamientos médicos convencionales. Hable con su médico para asegurarse de que el uso de medicina complementaria e integral con métodos de medicina convencionales está coordinado y es seguro. Información para el consumidor COVID-19 y los tratamientos “alternativos”: lo que usted debe saber Salud complementaria, alternativa o integral: ¿Qué hay detrás de estos nombres? Complementary, Alternative, or Integrative Health: What’s In a Name? Consideraciones en un enfoque complementario para la salud Are You Considering a Complementary Health Approach?",natural_remedy
nccih_0001_2,Información en Español,NCCIH (NIH),https://www.nccih.nih.gov/health/espanol,Public Domain,2026-01-11,"Consejos a la hora de hablar: Seis aspectos que debe conocer al elegir un profesional de medicina complementaria 6 Things To Know When Selecting a Complementary Health Practitioner Información para el consumidor ( ODS , por sus siglas en inglés) Making Decisions About Dietary Supplements Control del peso Weight Control Fisiculturismo Bodybuilding Estrés Stress Música y salud: Lo que tiene que saber Music and Health: What You Need To Know Conozca la ciencia: Encontrar y evaluar recursos en Internet Enfermedades y tratamientos El cáncer y los enfoques de salud complementarios: lo que usted debe saber Cancer and Complementary Health Approaches: What You Need To Know La espiritualidad en el tratamiento del cáncer (NCI, por sus siglas en inglés) Spirituality in Cancer Care La gripe y los resfriados: en detalles Flu and Colds: In Depth Diabetes y suplementos dietéticos Diabetes and Dietary Supplements Disfunción eréctil/Mejora del rendimiento sexual Erectile Dysfunction/Sexual Enhancement Multimedios Videos y multimedia (MedlinePlus) Seguridad Cómo encontrar y evaluar recursos en línea Finding and Evaluating Online Resources Suplementos dietéticos Dietary Supplements Los productos para bajar de peso, mejorar el desempeño masculino y otros más que se venden en línea o tiendas pueden ser peligrosos (FDA, por sus siglas en inglés) Weight Loss, Male Enhancement and Other Products Sold Online or in Stores May Be Dangerous Uso adecuado de los suplementos dietéticos Using Dietary Supplements Wisely Estafas a la Salud (FDA, por sus siglas en inglés) Don't Be Fooled By Health Fraud Scams Estudios clínicos Ensayos clínicos (MedlinePlus) Clinical Trials",natural_remedy
nccih_0002_1,"What Is Complementary, Alternative, or Integrative Health?",NCCIH (NIH),https://www.nccih.nih.gov/health/complementary-alternative-or-integrative-health-whats-in-a-name,Public Domain,2026-01-11,"Complementary, Alternative, or Integrative Health: What’s In a Name? We’ve all seen the words “complementary,” “alternative,” and “integrative,” but what do they really mean? This fact sheet looks into these terms to help you understand them better and gives you a brief picture of the mission and role of the in this area of re The terms “complementary,” “alternative,” and “integrative” are continually evolving, along with the field, but the descriptions of these terms below are how we at the National Institutes of Health currently define them. Complementary Versus Alternative According to a 2012 national survey, many Americans—more than 30 percent of adults and about 12 percent of children—use health care approaches that are not typically part of conventional medical care or that may have origins outside of usual Western practice. When describing these approaches, people often use “alternative” and “complementary” interchangeably, but the two terms refer to different concepts: If a non-mainstream approach is used together with conventional medicine, it’s considered “complementary.” If a non-mainstream approach is used in place of conventional medicine, it’s considered “alternative.” Most people who use non-mainstream approaches also use conventional health care. In addition to the terms complementary and alternative, you may also hear the term “functional medicine.” This term sometimes refers to a concept similar to integrative health (described below), but it may also refer to an approach that more closely resembles naturopathy (a medical system that has evolved from a combination of traditional practices and health care approaches popular in Europe during the 19th century). Integrative Health Integrative health brings conventional and complementary approaches together in a coordinated way.",natural_remedy
nccih_0002_2,"What Is Complementary, Alternative, or Integrative Health?",NCCIH (NIH),https://www.nccih.nih.gov/health/complementary-alternative-or-integrative-health-whats-in-a-name,Public Domain,2026-01-11,"Integrative health also emphasizes multimodal interventions, which are two or more interventions such as conventional health care approaches (like medication, physical rehabilitation, psychotherapy), and complementary health approaches (like acupuncture, yoga, and probiotics) in various combinations, with an emphasis on treating the whole person rather than, for example, one organ system. Integrative health aims for well-coordinated care among different providers and institutions by bringing conventional and complementary approaches together to care for the whole person. The use of integrative approaches to health and wellness has grown within care settings across the United States. Re are currently exploring the potential benefits of integrative health in a variety of situations, including pain management for military personnel and veterans, relief of symptoms in cancer patients and survivors, and programs to promote healthy behaviors. What is whole person health? Whole person health refers to helping individuals, families, communities, and populations improve and restore their health in multiple interconnected domains—biological, behavioral, social, environmental—rather than just treating disease. Re on whole person health includes expanding the understanding of the connections between these various aspects of health, including connections between organs and body systems. Integrative Approaches for Pain Management for Military Personnel and Veterans Chronic pain is a common problem among active-duty military personnel and veterans. NCCIH, the U.S. Department of Veterans Affairs, and other agencies are sponsoring re to see whether integrative approaches can help. For example: An NCCIH-funded study is developing an innovative, collaborative treatment model involving chiropractors, primary care providers, and mental health providers for veterans with spine pain and related mental health conditions.",natural_remedy
nccih_0002_3,"What Is Complementary, Alternative, or Integrative Health?",NCCIH (NIH),https://www.nccih.nih.gov/health/complementary-alternative-or-integrative-health-whats-in-a-name,Public Domain,2026-01-11,"Other NCCIH-funded studies are testing the effects of adding mindfulness meditation, self-hypnosis, or other complementary approaches to pain management programs for veterans. The goal is to help patients feel and function better and reduce their need for pain medicines that can have serious side effects. For",natural_remedy
nccih_0003,Pain,NCCIH (NIH),https://www.nccih.nih.gov/health/pain,Public Domain,2026-01-11,"Pain Pain is the most common reason for seeking medical care. It is also a common reason why people turn to complementary and integrative health approaches. If you are considering such an approach for pain, this information can help you talk with your health care provider. NCCIH supports and conducts pain re at the NIH labs in Bethesda, Maryland and by funding re and grants around the country. We also provide information for both consumers and health professionals. What’s New NCCIH Epidemiology Program - this program designs, implements, and analyzes high-quality surveys and longitudinal studies that further understanding of complementary health approaches and chronic pain. How integrative health re tackles the pain management crisis: NIH centers and institutes work together to find new solutions (NIH MedlinePlus Magazine) NIH study broadens understanding of High Impact Chronic Pain in the US Consumer Information on Pain Pain eBook Chronic Pain Fact Sheet More Pain Program at the NCCIH Labs Join a Study: Clinical and Scientific Assessment of Pain and Painful Disorders Pain Seminars More Grant Funding for Pain Initiatives Current Funding Opportunities Re on the Impact of Creative Arts in Military Populations More Health Professional Information Earn CME More Share Email Facebook X Related Topics Chronic Pain (NINDS) NIH Pain Seminar Series Pain: You Can Get Help (NIA) NIH Pain Consortium",natural_remedy
nccih_0004_1,Know the Science,NCCIH (NIH),https://www.nccih.nih.gov/health/know-science,Public Domain,2026-01-11,"Know the Science Share Email Facebook X Why is it important to know the science of health? Simply put, because there is a lot of misinformation out there—from anecdotes disguised as evidence to excessive claims made by supplement manufacturers to TV doctors touting the latest ""miracle cure."" On this page you'll find tools to help you better understand complex scientific topics that relate to health re so that you can be discerning about what you hear and read and make well-informed decisions about your health. Know the Science features a variety of materials including interactive modules, quizzes, and videos to provide engaging, straightforward content. Learn more about how the Know the Science initiative got started. So, what are you waiting for? Dive in, and get to know the science. Know the Science is now available in Spanish ! Know the Science Tools How To Make Sense of a Scientific Journal Article Understanding the basics of scientific studies to help you make better health decisions. The Facts About Health News Stories Find out how to tell if a news story is reliable or has missing, misleading, or conflicting information. How Medications and Supplements Can Interact Find out if the drugs and supplements you take may interact in a harmful way. 6 Commonly Misunderstood Words About Complementary Health Approaches Do you know the difference between holistic and homeopathic ? Take this 6-question quiz to find out. Natural Doesn’t Necessarily Mean Safer or Better Understanding what “natural” means can help you choose health products wisely. How To Find Information About Complementary Health Approaches Learn to use PubMed ® to for scientific publications on complementary health. Finding and Evaluating Online Resources on Complementary Health Approaches Explore these four modules to find out how to tell whether websites, social media sites, and apps are trustworthy.",natural_remedy
nccih_0004_2,Know the Science,NCCIH (NIH),https://www.nccih.nih.gov/health/know-science,Public Domain,2026-01-11,"Know, Discover, Get Informed: Videos browser does not support iframe browser does not support iframe Know More Understanding Medical Words (NLM) Frequently Asked Questions About Clinical Re Beware of Health Scams (NIA) Explaining How Re Works (NIH) Why Do Re Do Different Kinds of Clinical Studies? (NIH) (317KB PDF) Understanding Clinical Studies (NIH) Making Sense of Your Health Risks (NIH) (221KB PDF) Antibiotic Resistance​​​​​​​ (CDC) Dietary Supplement Ads (FTC)",natural_remedy
nccih_0005_1,Acai,NCCIH (NIH),https://www.nccih.nih.gov/health/acai,Public Domain,2026-01-11,"Acai © iStockphoto.com/RicAguiar Common Names: acai (pronounced AH-sigh-EE), acai berry, acai palm Latin Names: Euterpe oleracea , Euterpe badiocarpa Background The acai palm tree, native to tropical Central and South America and widely found in the Brazilian Amazon region, produces a round, dark purple fruit. The acai fruit, also known as acai berry, has long been an important food source for the indigenous people there, who also attribute healing powers to various parts of the plant. Different parts of the acai plant have been used in folk medicine for treating fever, gastrointestinal and skin conditions, and infectious diseases. Acai products have become popular in the United States. They have been promoted for athletic performance, high cholesterol, erectile dysfunction, obesity, aging skin, metabolic syndrome, and other conditions. The Federal Trade Commission has taken action against companies that marketed acai weight-loss products in allegedly deceptive ways. How Much Do We Know? Very little re has been done in people on the health effects of acai products. What Have We Learned? There is not enough reliable information to say whether acai might be helpful for any health-related purpose. No studies in people have been published in peer-reviewed journals in the last 5 years that substantiate claims that acai promotes weight loss. Laboratory studies support acai’s potential antioxidant and anti-inflammatory properties as well as other potentially beneficial effects. Several small studies have found that acai pulp improves antioxidant defenses in people. What Do We Know About Safety? Acai pulp has been used safely for up to 3 months in clinical re Little re has been done on the safety of acai. Raw acai fruit and juice can be contaminated with parasites. In rare cases, drinking the raw juice has been linked to outbreaks of the illness American trypanosomiasis (also known as Chagas disease).",natural_remedy
nccih_0005_2,Acai,NCCIH (NIH),https://www.nccih.nih.gov/health/acai,Public Domain,2026-01-11,"Consuming acai might affect results of magnetic resonance imaging (MRI) of the gastrointestinal tract. If you use acai products and are scheduled for an MRI, check with your health care provider. Preliminary re showed that taking acai may increase or decrease levels of fasting blood glucose, suggesting that acai could possibly interfere with glycemic control if taken with antidiabetes medications. If you take antidiabetes medications or any other medicine, talk with your health care provider before using acai or other herbal products; some herbs and medicines interact in harmful ways. Little is known about whether it’s safe to use acai during pregnancy or while breastfeeding. Keep in Mind Take charge of your health—talk with your health care providers about any complementary health approaches you use. Together, you can make shared, well-informed decisions. Federal Regulation of Herbal Products Depending on what’s in them, how they’re intended to be used, and how they’re administered (orally or topically), herbal products are regulated in a variety of ways. Many herbal products intended for oral use are marketed as dietary supplements. The rules for making and distributing dietary supplements are less strict than those for drugs. Unlike drugs, dietary supplements are not approved by the U.S. Food and Drug Administration (FDA) before they are sold to the public. When public health concerns arise about the safety of a dietary supplement or an ingredient including an herb, the FDA can take action to protect the public. Manufacturers and distributors of supplements are responsible for evaluating the safety and labeling of their products before marketing to ensure that they meet all regulatory requirements. For",natural_remedy
nccih_0006_1,Aloe Vera,NCCIH (NIH),https://www.nccih.nih.gov/health/aloe-vera,Public Domain,2026-01-11,"Aloe Vera © Steven Foster Common Names: aloe Latin Names: Aloe vera , Aloe africana , Aloe arborescens , Aloe barbadensis Background Aloe is a cactus-like plant that grows in hot, dry climates. It is grown in subtropical regions around the world, including the southern border areas of Texas, New Mexico, Arizona, and California. Aloe was used in ancient Greece, Rome, Babylonia, and China. Historically, it was used for skin conditions and was thought to prevent premature graying of hair and promote wound healing. Aloe is used topically (applied to the skin) and orally. Topical use of aloe is promoted for acne, psoriasis, lichen planus (a very itchy rash on the skin or in the mouth), oral submucous fibrosis (a disease that causes scars and tissue fibrosis and can involve a burning sensation in the mouth), burns, and skin damage from radiation therapy. Oral use of aloe is promoted for weight loss, diabetes, and inflammatory bowel disease (a group of conditions caused by gut inflammation that includes Crohn’s disease and ulcerative colitis). Aloe products can be made from various parts of the aloe leaf, including the gel (from the inner leaf), latex (from the leaf’s outer layer), and whole crushed leaf (containing the gel and latex). In 2002, the U.S. Food and Drug Administration issued a ruling that required manufacturers to remove aloe latex from over-the-counter laxative products because of a lack of safety data. The International Agency for Re on Cancer has classified whole leaf extract of aloe vera as a possible carcinogen in humans. (This form, called non-decolorized, has not undergone activated carbon treatment to remove toxic anthraquinone components.) How Much Do We Know? A number of studies have investigated the usefulness of aloe as a dietary supplement or a topical product for various health purposes and conditions in people. What Have We Learned?",natural_remedy
