id,title,source_name,url,license,date_accessed,text_chunk,category
pubmed_36782182_1,Primary headache epidemiology in children and adolescents: a systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/36782182/,Public Domain,2026-01-26,"Title: Primary headache epidemiology in children and adolescents: a systematic review and meta-analysis. Authors: Agnese Onofri, Umberto Pensato, Chiara Rosignoli et al. Published: Feb 2023

Abstract: INTRODUCTION: Headache is the most prevalent neurological manifestation in adults and one of the leading causes of disability worldwide. In children and adolescents, headaches are arguably responsible for a remarkable impact on physical and psychological issues, yet high-quality evidence is scarce. MATERIAL AND METHODS: We searched cross-sectional and cohort studies in Embase, Medline, Web of Science, and Cochrane databases from January 1988 to June 2022 to identify the prevalence of headaches in 8-18 years old individuals. The risk of bias was examined with the Joanna Briggs Institute (JBI) scale. A random-effects model was used to estimate the pooled prevalence of pediatric headache. Subgroup analyses based on headache subtypes were also conducted. RESULTS: Out of 5,486 papers retrieved electronically, we identified 48 studies that fulfilled our inclusion criteria. The pooled prevalence of primary headaches was 11% for migraine overall [95%CI: 9-14%], 8% for migraine without aura (MwoA) [95%CI: 5-12%], 3% for migraine with aura (MwA) [95%CI:2-4%] and 17% for tension-type headache (TTH) [95% CI: 12-23%]. The pooled prevalence of overall primary headache in children and adolescents was 62% [95% CI: 53-70%], with prevalence in females and males of 38% [95% CI: 16-66%] and 27% [95% CI: 11-53%] respectively. After the removal of studies ranked as low-quality according to the JBI scale, prevalence rates were not substantially different. Epidemiological data on less common primary headaches, such as trigeminal autonomic cephalalgias, were lacking. CONCLUSION: We found an overall remarkably high prevalence of primary headaches in children and adolescents, even if flawed by a high degree of heterogeneity.",research
pubmed_36782182_2,Primary headache epidemiology in children and adolescents: a systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/36782182/,Public Domain,2026-01-26,Further up-to-date studies are warranted to complete the picture of pediatric headache-related burden to enhance specific public interventions.,research
pubmed_29052046,Headache and pregnancy: a systematic review.,PubMed,https://pubmed.ncbi.nlm.nih.gov/29052046/,Public Domain,2026-01-26,"Title: Headache and pregnancy: a systematic review.
Authors: A Negro, Z Delaruelle, T A Ivanova et al.
Published: Oct 2017

Abstract: This systematic review summarizes the existing data on headache and pregnancy with a scope on clinical headache phenotypes, treatment of headaches in pregnancy and effects of headache medications on the child during pregnancy and breastfeeding, headache related complications, and diagnostics of headache in pregnancy. Headache during pregnancy can be both primary and secondary, and in the last case can be a symptom of a life-threatening condition. The most common secondary headaches are stroke, cerebral venous thrombosis, subarachnoid hemorrhage, pituitary tumor, choriocarcinoma, eclampsia, preeclampsia, idiopathic intracranial hypertension, and reversible cerebral vasoconstriction syndrome. Migraine is a risk factor for pregnancy complications, particularly vascular events. Data regarding other primary headache conditions are still scarce. Early diagnostics of the disease manifested by headache is important for mother and fetus life. It is especially important to identify ""red flag symptoms"" suggesting that headache is a symptom of a serious disease. In order to exclude a secondary headache additional studies can be necessary: electroencephalography, ultrasound of the vessels of the head and neck, brain MRI and MR angiography with contrast ophthalmoscopy and lumbar puncture. During pregnancy and breastfeeding the preferred therapeutic strategy for the treatment of primary headaches should always be a non-pharmacological one. Treatment should not be postponed as an undermanaged headache can lead to stress, sleep deprivation, depression and poor nutritional intake that in turn can have negative consequences for both mother and baby. Therefore, if non-pharmacological interventions seem inadequate, a well-considered choice should be made concerning the use of medication, taking into account all the benefits and possible risks.",research
pubmed_36419164_1,The effectiveness of manual and exercise therapy on headache intensity and frequency among patients with cervicogenic headache: a systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/36419164/,Public Domain,2026-01-26,"Title: The effectiveness of manual and exercise therapy on headache intensity and frequency among patients with cervicogenic headache: a systematic review and meta-analysis. Authors: Pietro Bini, David Hohenschurz-Schmidt, Vincenzo Masullo et al. Published: Nov 2022

Abstract: BACKGROUND: Cervicogenic headache is a secondary headache, and manual therapy is one of the most common treatment choices for this and other types of headache. Nonetheless, recent guidelines on the management of cervicogenic headache underlined the lack of trials comparing manual and exercise therapy to sham or no-treatment controls. The main objective of this systematic review and meta-analysis was to assess the effectiveness of different forms of manual and exercise therapy in people living with cervicogenic headache, when compared to other treatments, sham, or no treatment controls. METHODS: Following the PRISMA guidelines, the literature search was conducted until January 2022 on MEDLINE, CENTRAL, DOAJ, and PEDro. Randomized controlled trials assessing the effects of manual or exercise therapy on patients with cervicogenic headache with headache intensity or frequency as primary outcome measures were included. Study selection, data extraction and Risk of Bias (RoB) assessment were done in duplicate. GRADE was used to assess the quality of the evidence. RESULTS: Twenty studies were included in the review, with a total of 1439 patients. Common interventions were spinal manipulation, trigger point therapy, spinal mobilization, scapulo-thoracic and cranio-cervical exercises. Meta-analysis was only possible for six manual therapy trials with sham comparators. Data pooling showed moderate-to-large effects in favour of manual therapy for headache frequency and intensity at short-term, small-to-moderate for disability at short-term, small-to-moderate for headache intensity and small for headache frequency at long-term.",research
pubmed_36419164_2,The effectiveness of manual and exercise therapy on headache intensity and frequency among patients with cervicogenic headache: a systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/36419164/,Public Domain,2026-01-26,"A sensitivity meta-analysis of low-RoB trials showed small effects in favor of manual therapy in reducing headache intensity, frequency and disability at short and long-term. Both trials included in the sensitivity meta-analysis studied spinal manipulation as the intervention of interest. GRADE assessment showed moderate quality of evidence. CONCLUSION: The evidence suggests that manual and exercise therapy may reduce headache intensity, frequency and disability at short and long-term in people living with cervicogenic headache, but the overall RoB in most included trials was high. However, a sensitivity meta-analysis on low-RoB trials showed moderate-quality evidence supporting the use of spinal manipulation compared to sham interventions. More high-quality trials are necessary to make stronger recommendations, ideally based on methodological recommendations that enhance comparability between studies. Trial registration The protocol for this meta-analysis was pre-registered on PROSPERO under the registration number CRD42021249277.",research
pubmed_34537167,Manual therapy in adults with tension-type headache: A systematic review.,PubMed,https://pubmed.ncbi.nlm.nih.gov/34537167/,Public Domain,2026-01-26,"Title: Manual therapy in adults with tension-type headache: A systematic review.
Authors: C Cumplido-Trasmonte, P Fernández-González, I M Alguacil-Diego et al.
Published: Sep 2021

Abstract: INTRODUCTION: Tension-type headache is the most common primary headache, with a high prevalence and a considerable socioeconomic impact. Manual physical therapy techniques are widely used in the clinical field to treat the symptoms associated with tension-type headache. This systematic review aims to determine the effectiveness of manual and non-invasive therapies in the treatment of patients with tension-type headache. DEVELOPMENT: We conducted a systematic review of randomised controlled trials in the following databases: Brain, PubMed, Web of Science, PEDro, Scopus, CINAHL, and Science Direct. Ten randomised controlled trials were included for analysis. According to these studies, manual therapy improves symptoms, increasing patients' well-being and improving the outcome measures analysed. CONCLUSIONS: Manual therapy has positive effects on pain intensity, pain frequency, disability, overall impact, quality of life, and craniocervical range of motion in adults with tension-type headache. None of the techniques was found to be superior to the others; combining different techniques seems to be the most effective approach.",research
pubmed_40277321,"Evidence-based guidelines for the pharmacological treatment of migraine, summary version.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40277321/,Public Domain,2026-01-26,"Title: Evidence-based guidelines for the pharmacological treatment of migraine, summary version.
Authors: Raffaele Ornello, Valeria Caponnetto, Fayyaz Ahmed et al.
Published: Apr 2025

Abstract: We here present evidence-based guidelines for the pharmacological treatment of migraine. These guidelines, created by the Italian Society for the Study of Headache and the International Headache Society, aim to offer clear, actionable recommendations to healthcare professionals. They incorporate evidence-based recommendations from randomized controlled trials and expert-based opinions. The guidelines follow the GRADE approach for assessing the quality of evidence. The guideline development involved a systematic review of literature across multiple databases, adherence to Cochrane review methods, and a structured framework for data extraction and interpretation. Although the guidelines provide a robust foundation for migraine treatment, they also highlight gaps in current research, such as the paucity of head-to-head drug comparisons and the need for long-term outcome studies. These guidelines serve as a resource to standardize migraine treatment and promote high-quality care across different healthcare settings.",research
pubmed_35056352_1,Cognitive Behavioral Therapy for Migraine Headache: A Systematic Review and Meta-Analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/35056352/,Public Domain,2026-01-26,"Title: Cognitive Behavioral Therapy for Migraine Headache: A Systematic Review and Meta-Analysis. Authors: Ji-Yong Bae, Hyun-Kyung Sung, Na-Yoen Kwon et al. Published: Dec 2021

Abstract: Background and Objectives: Migraine headaches are chronic neurological diseases that reduce the quality of life by causing severe headaches and autonomic nervous system dysfunction, such as facial flushing, nasal stuffiness, and sweating. Their major treatment methods include medication and cognitive behavioral therapy (CBT). CBT has been used for pain treatment and various psychogenic neurological diseases by reducing pain, disability, and emotional disorders caused by symptoms of mental illness and improving the understanding of mental health. This study aimed to evaluate the effectiveness and safety of CBT in treating migraines. Materials and Methods: Seven electronic databases were searched from the date of inception to December 2020. Randomized controlled studies (RCTs) using CBT as an intervention for migraine were included. The primary outcome of this study was to determine the frequency of migraines and the intensity of migraines on Visual Analog Scale (VAS), the frequency of drug use, Migraine Disability Assessment (MIDAS), and Headache Impact Test (HIT-6) index. The two authors independently conducted the data extraction and quality assessment of the included RCTs, and conducted meta-analysis with RevMan V.5.4. Results: Among the 373 studies, 11 RCTs were included in this systematic review. Seven out of the 11 RCTs were conducted in the USA, and four were conducted in the UK, Germany, Iran, and Italy, respectively. Headache frequency and MIDAS scores were statistically significant reduced. In the subgroup analysis, headache strength was significantly reduced. Two of the included studies reported adverse effects, including worsening of migraine intensity and frequency, respiratory symptoms, and vivid memory of a traumatic event.",research
pubmed_35056352_2,Cognitive Behavioral Therapy for Migraine Headache: A Systematic Review and Meta-Analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/35056352/,Public Domain,2026-01-26,"Conclusions: CBT for migraine effectively reduced headache frequency and MIDAS score in meta-analysis and headache intensity subgroup analysis, with few adverse events. Additional RCTs with CBT for migraine headaches are needed for a more accurate analysis.",research
pubmed_31891197_1,Neuroimaging for Migraine: The American Headache Society Systematic Review and Evidence-Based Guideline.,PubMed,https://pubmed.ncbi.nlm.nih.gov/31891197/,Public Domain,2026-01-26,"Title: Neuroimaging for Migraine: The American Headache Society Systematic Review and Evidence-Based Guideline. Authors: Randolph W Evans, Rebecca C Burch, Benjamin M Frishberg et al. Published: Feb 2020

Abstract: OBJECTIVE: To provide updated evidence-based recommendations about when to obtain neuroimaging in patients with migraine. METHODS: Articles were included in the systematic review if they studied adults 18 and over who were seeking outpatient treatment for any type of migraine and who underwent neuroimaging (MRI or CT). Medline, Web of Science, and Cochrane Clinical Trials were searched from 1973 to August 31, 2018. Reviewers identified studies, extracted data, and assessed the quality of the evidence in duplicate. We assessed study quality using the Newcastle-Ottawa Scale. RESULTS: The initial search yielded 2269 publications. Twenty three articles met inclusion criteria and were included in the final review. The majority of studies were retrospective cohort or cross-sectional studies. There were 4 prospective observational studies. Ten studies evaluated the utility of CT only, 9 MRI only, and 4 evaluated both. Common abnormalities included chronic ischemia or atrophy with CT and MRI scanning, and non-specific white matter lesions with MRI. Clinically meaningful abnormalities requiring intervention were relatively rare. Clinically significant neuroimaging abnormalities in patients with headaches consistent with migraine without atypical features or red flags appeared no more common than in the general population. RECOMMENDATIONS: There is no necessity to do neuroimaging in patients with headaches consistent with migraine who have a normal neurologic examination, and there are no atypical features or red flags present.",research
pubmed_31891197_2,Neuroimaging for Migraine: The American Headache Society Systematic Review and Evidence-Based Guideline.,PubMed,https://pubmed.ncbi.nlm.nih.gov/31891197/,Public Domain,2026-01-26,"Grade A Neuroimaging may be considered for presumed migraine for the following reasons: unusual, prolonged, or persistent aura; increasing frequency, severity, or change in clinical features, first or worst migraine, migraine with brainstem aura, migraine with confusion, migraine with motor manifestations (hemiplegic migraine), late-life migraine accompaniments, aura without headache, side-locked headache, and posttraumatic headache. Most of these are consensus based with little or no literature support. Grade C.",research
pubmed_32924640_1,Effectiveness of manual therapy in patients with tension-type headache. A systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/32924640/,Public Domain,2026-01-26,"Title: Effectiveness of manual therapy in patients with tension-type headache. A systematic review and meta-analysis. Authors: Danilo Harudy Kamonseki, Erika Plonczynski Lopes, Hedwig Aleida van der Meer et al. Published: May 2022

Abstract: PURPOSE: To systematically review the evidence about the effectiveness of manual therapy (MT) on pain intensity, frequency and impact of headache in individuals with tension-type headache (TTH). METHODS: Medline, Embase, Scopus, Web of Science, CENTRAL, and PEDro were searched in June 2020. Randomized controlled trials that applied MT not associated with other interventions for TTH were selected. The level of evidence was synthesized using GRADE, and Standardized Mean Differences (SMD) were calculated for meta-analysis. RESULTS: Fifteen studies were included with a total sample of 1131 individuals. High velocity and low amplitude techniques were not superior to no treatment on reducing pain intensity (SMD = 0.01, low evidence) and frequency (SMD = -0.27, moderate evidence). Soft tissue interventions were superior to no treatment on reducing pain intensity (SMD = -0.86, low evidence) and frequency of pain (SMD = -1.45, low evidence). Dry needling was superior to no treatment on reducing pain intensity (SMD = -5.16, moderate evidence) and frequency (SMD = -2.14, moderate evidence). Soft tissue interventions were not superior to no treatment and other treatments on the impact of headache.",research
pubmed_32924640_2,Effectiveness of manual therapy in patients with tension-type headache. A systematic review and meta-analysis.,PubMed,https://pubmed.ncbi.nlm.nih.gov/32924640/,Public Domain,2026-01-26,"CONCLUSION: Manual therapy may have positive effects on pain intensity and frequency, but more studies are necessary to strengthen the evidence of the effects of manual therapy on subjects with tension-type headache.Implications for rehabilitationSoft tissue interventions and dry needling can be used to improve pain intensity and frequency in patients with tension type headache.High velocity and low amplitude thrust manipulations were not effective for improving pain intensity and frequency in patients with tension type headache.Manual therapy was not effective for improving the impact of headache in patients with tension type headache.",research
